2, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 1048576
3, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683, 59049, 177147, 531441
5, 5, 25, 125, 625, 3125, 15625, 78125, 390625
7, 7, 49, 343, 2401, 16807, 117649, 823543
11, 11, 121, 1331, 14641, 161051, 1771561
13, 13, 169, 2197, 28561, 371293
17, 17, 289, 4913, 83521, 1419857
19, 19, 361, 6859, 130321
23, 23, 529, 12167, 279841
29, 29, 841, 24389, 707281
31, 31, 961, 29791, 923521
37, 37, 1369, 50653
